[23:13:36:022] [main/INFO]: Start server
[23:13:51:788] [nioEventLoopGroup-1-0/INFO]: Encoder HANDSHAKING, packet CHandshake, id 0, size 3
[23:13:51:789] [nioEventLoopGroup-1-0/INFO]: Connect Base server
[23:14:02:430] [nioEventLoopGroup-1-0/INFO]: Decoder BATTLE_SERVER, packet PStartBattle, id 0, size 16
[23:14:02:877] [nioEventLoopGroup-1-0/INFO]: Encoder BATTLE_SERVER, packet PBattleStatus, id 0, size 7
[23:14:06:154] [nioEventLoopGroup-0-1/INFO]: Decoder HANDSHAKING, packet CHandshake, id 0, size 3
[23:14:06:154] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet CPacketConnectBattle, id 0, size 6
[23:14:06:413] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:06:414] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleInfo, id 0, size 10
[23:14:06:415] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketLoadEntity, id 1, size 64
[23:14:06:415] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:06:415] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:14:09:875] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:14:10:002] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:10:002] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:14:13:310] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:14:13:596] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:13:596] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:15:153] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:15:154] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:18:168] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:14:18:247] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:14:20:032] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:14:21:566] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:21:566] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:21:566] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:21:567] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:21:567] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:21:567] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:21:567] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:14:26:969] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:14:27:236] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:14:28:475] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:14:28:733] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:28:733] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:28:733] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:29:832] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:29:832] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:39:830] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:41:180] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:41:180] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:41:693] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:41:693] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:14:44:449] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:14:44:647] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:14:46:325] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:14:46:458] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:46:458] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:46:458] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:47:899] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:47:899] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:51:065] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:14:51:279] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:14:52:129] [nioEventLoopGroup-0-1/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:14:52:380] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:52:381] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:52:381] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:53:482] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:14:53:482] [nioEventLoopGroup-0-1/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:53:820] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:14:53:821] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:15:02:125] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:02:379] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:15:03:488] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:04:838] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:04:838] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:09:435] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:09:769] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:15:10:960] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:11:146] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:11:146] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:11:146] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:12:311] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:12:311] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:12:459] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:12:460] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:15:15:681] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:15:849] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:15:17:239] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:17:486] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:17:486] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:17:487] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:18:592] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:18:592] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:20:865] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:21:203] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:15:21:791] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:22:017] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:22:018] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:22:018] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:23:193] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:23:194] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:23:194] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:23:194] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:15:24:667] [nioEventLoopGroup-0-2/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:24:860] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:24:860] [nioEventLoopGroup-0-2/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:26:019] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:26:019] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:27:293] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:27:426] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:27:427] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:27:427] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:28:644] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:28:644] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:28:801] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:28:801] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:15:30:221] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:30:390] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:30:391] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:30:391] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:31:683] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:31:684] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:33:183] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:33:370] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:33:371] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:33:371] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:34:534] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:34:534] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:35:148] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:35:148] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:15:37:019] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:37:550] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:37:551] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:37:551] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:38:371] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:38:371] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:39:401] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet CPacketAttack, id 1, size 6
[23:15:39:559] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:39:560] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:39:560] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:40:761] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleDamage, id 3, size 12
[23:15:40:761] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:40:762] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleStatus, id 2, size 3
[23:15:40:762] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketBattleTarget, id 4, size 6
[23:15:41:983] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:42:161] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:15:43:895] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:44:406] [nioEventLoopGroup-0-3/INFO]: Decoder BATTLE, packet SPacketSlotUse, id 2, size 6
[23:15:44:407] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
[23:15:45:433] [nioEventLoopGroup-0-3/INFO]: Encoder BATTLE, packet SPacketSlotUpdate, id 6, size 10
